"File","Title","Description","DescLen","Category","Draft","Chars","H2","H3","HasFAQ","HasIntro","HasSummary","InternalLinks","Risky"
"2026-05-09-ise-jingu-power-spot.md","伊勢神宮の参拝ガイド｜日本の総氏神を訪ねる、パワースポット完全攻略","「日本の総氏神」と称される伊勢神宮の歴史・ご利益・正式な参拝順序（外宮→内宮）・周辺パワースポット・モデルコース・参拝マナー・おすすめのパワーストーンまでを総合的に解説。初めての方にも分かりやすい保存版です。","104","powerspots","false","3471","14","6","True","True","True","5",""
"2026-05-09-money-luck-wallet.md","金運が上がる財布の選び方｜色・素材・買い替え時期まで完全ガイド","金運アップを願う人のための財布の選び方を、色・素材・形・買い替えのタイミングまで具体的に解説します。","50","lucky-goods","false","1528","8","11","False","True","True","0",""
"2026-05-09-morning-routine-lucky.md","運気が上がる朝の習慣7つ｜今日から始められる開運ルーティン","朝のたった15分で運気を整える習慣を7つ厳選して紹介。掃除・呼吸・言霊・朝日浴など、今日から始められる開運ルーティンです。","61","luck-habits","false","1469","11","0","False","True","True","0",""
"2026-05-09-rose-quartz-meaning.md","ローズクォーツの意味・石言葉・効果｜恋愛運を高める使い方・浄化方法まで完全ガイド","ローズクォーツの石言葉・意味・効果の言い伝え、恋愛運を高める使い方、相性のよい組み合わせ、鉱物学的特徴、よくある質問までを総合的に解説。淡いピンクの「愛の石」を生活に取り入れるための保存版です。","97","powerstones","false","4748","13","1","True","True","True","5",""
"2026-05-10-agate.md","アゲート（瑪瑙）の意味・石言葉・効果｜家庭を守る「絆と安定の石」","アゲート（瑪瑙）（Agate）の意味・石言葉「家族の絆・調和・安定」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。家庭を守る「絆と安定の石」の基礎と実践がこの1ページで分かります。","102","powerstones","false","1488","10","1","False","True","True","0",""
"2026-05-10-amazonite.md","アマゾナイトの意味・石言葉・効果｜アマゾン女戦士の伝説を宿す「希望と勇気の石」","アマゾナイトの石言葉・歴史、希望・勇気・自己表現にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。アマゾンの女戦士に由来する青緑の石を生活に取り入れるための保存版です。","102","powerstones","false","3206","12","1","True","True","True","6","治療"
"2026-05-10-amber.md","アンバー（琥珀）の意味・石言葉・効果｜数千万年の時を閉じ込めた「太陽の石」","アンバー（琥珀）の石言葉・歴史、太陽のエネルギー・癒し・子供の守護にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。「電気」の語源にもなった樹脂の化石を生活に取り入れるための保存版です。","111","powerstones","false","3280","12","1","True","True","True","6",""
"2026-05-10-amethyst.md","アメジスト（紫水晶）の意味・石言葉・効果｜古代ローマから愛される「真実の愛の石」","アメジスト（紫水晶）の石言葉・歴史・効果の言い伝え、直感力を高める使い方、相性のよい組み合わせ、鉱物学的特徴、よくある質問までを総合的に解説。古代ローマから愛されてきた「真実の愛の石」を生活に取り入れるための保存版です。","110","powerstones","false","4378","14","1","True","True","True","5",""
"2026-05-10-ametrine.md","アメトリンの意味・石言葉・効果｜アメジストとシトリンが融合した「陰陽の石」","アメトリン（Ametrine）の意味・石言葉「陰陽の調和・豊かさと精神性・二面性の統合」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。アメジストとシトリンが融合した「陰陽の石」の基礎と実践がこの1ページで分かります。","120","powerstones","false","1484","10","1","False","True","True","0",""
"2026-05-10-apatite.md","アパタイトの意味・石言葉・効果｜目標達成を後押しする「青の指南石」","アパタイト（Apatite）の意味・石言葉「コミュニケーション・学業・目標達成」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。目標達成を後押しする「青の指南石」の基礎と実践がこの1ページで分かります。","112","powerstones","false","1447","10","1","False","True","True","0",""
"2026-05-10-aquamarine.md","アクアマリンの意味・石言葉・効果｜海の女神に守られる「平穏と結婚の青の石」","アクアマリンの石言葉・歴史、結婚運・コミュニケーション・航海の守護にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。3月の誕生石としても知られる海の青の石を生活に取り入れるための保存版です。","113","powerstones","false","3132","12","1","True","True","True","6",""
"2026-05-10-aso-jinja.md","阿蘇神社の参拝ガイド｜熊本県のパワースポット完全攻略","阿蘇神社（熊本県阿蘇市一の宮町宮地3083-1）の歴史・ご利益・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説します。","72","powerspots","false","1048","11","0","False","True","True","0",""
"2026-05-10-aventurine.md","アベンチュリンの意味・石言葉・効果｜森林浴のような癒しを宿す「インドのヒスイ」","アベンチュリンの石言葉・歴史、心身の癒し・ストレス緩和・穏やかな金運にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。古代インドから現代のヨガ実践者まで愛される緑の石を生活に取り入れるための保存版です。","119","powerstones","false","3135","12","1","True","True","True","6","治療"
"2026-05-10-azurite.md","アズライト（藍銅鉱）の意味・石言葉・効果｜深藍が誘う「霊性と洞察の石」","アズライト（藍銅鉱）（Azurite）の意味・石言葉「直感・霊性・深い洞察」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。深藍が誘う「霊性と洞察の石」の基礎と実践がこの1ページで分かります。","107","powerstones","false","1456","10","1","False","True","True","0",""
"2026-05-10-birthstone-april.md","4月の誕生石｜ダイヤモンド（クリスタル）の意味と効果・選び方","4月の誕生石「ダイヤモンド（クリスタル）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","52","powerstones","true","706","7","0","False","True","True","0",""
"2026-05-10-birthstone-august.md","8月の誕生石｜ペリドット（サードオニキス、スピネル）の意味と効果・選び方","8月の誕生石「ペリドット（サードオニキス、スピネル）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","58","powerstones","true","726","7","0","False","True","True","0",""
"2026-05-10-birthstone-december.md","12月の誕生石｜ターコイズ（タンザナイト、ラピスラズリ、ジルコン）の意味と効果・選び方","12月の誕生石「ターコイズ（タンザナイト、ラピスラズリ、ジルコン）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","65","powerstones","true","749","7","0","False","True","True","0",""
"2026-05-10-birthstone-february.md","2月の誕生石｜アメジストの意味と効果・選び方","2月の誕生石「アメジスト」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","44","powerstones","true","684","7","0","False","True","True","0",""
"2026-05-10-birthstone-january.md","1月の誕生石｜ガーネットの意味と効果・選び方","1月の誕生石「ガーネット」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","44","powerstones","true","695","7","0","False","True","True","0",""
"2026-05-10-birthstone-july.md","7月の誕生石｜ルビー（カーネリアン）の意味と効果・選び方","7月の誕生石「ルビー（カーネリアン）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","50","powerstones","true","698","7","0","False","True","True","0",""
"2026-05-10-birthstone-june.md","6月の誕生石｜ムーンストーン（パール、アレキサンドライト）の意味と効果・選び方","6月の誕生石「ムーンストーン（パール、アレキサンドライト）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","61","powerstones","true","766","7","0","False","True","True","0",""
"2026-05-10-birthstone-march.md","3月の誕生石｜アクアマリン（ブラッドストーン）の意味と効果・選び方","3月の誕生石「アクアマリン（ブラッドストーン）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","55","powerstones","true","721","7","0","False","True","True","0",""
"2026-05-10-birthstone-may.md","5月の誕生石｜エメラルド（翡翠）の意味と効果・選び方","5月の誕生石「エメラルド（翡翠）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","48","powerstones","true","683","7","0","False","True","True","0",""
"2026-05-10-birthstone-november.md","11月の誕生石｜トパーズ（シトリン）の意味と効果・選び方","11月の誕生石「トパーズ（シトリン）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","50","powerstones","true","691","7","0","False","True","True","0",""
"2026-05-10-birthstone-october.md","10月の誕生石｜オパール（トルマリン、ローズクォーツ）の意味と効果・選び方","10月の誕生石「オパール（トルマリン、ローズクォーツ）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","59","powerstones","true","728","7","0","False","True","True","0",""
