"File","Slug","Title","DescLen","Chars","Links","FAQ"
"2026-05-10-eto-rat.md","eto-rat","子（ねずみ）年生まれにおすすめのパワーストーン｜干支×石の相性","57","594","0","N"
"2026-05-10-eto-ox.md","eto-ox","丑（うし）年生まれにおすすめのパワーストーン｜干支×石の相性","56","596","0","N"
"2026-05-10-eto-tiger.md","eto-tiger","寅（とら）年生まれにおすすめのパワーストーン｜干支×石の相性","58","598","0","N"
"2026-05-10-eto-monkey.md","eto-monkey","申（さる）年生まれにおすすめのパワーストーン｜干支×石の相性","56","598","0","N"
"2026-05-10-eto-dog.md","eto-dog","戌（いぬ）年生まれにおすすめのパワーストーン｜干支×石の相性","57","599","0","N"
"2026-05-10-eto-snake.md","eto-snake","巳（へび）年生まれにおすすめのパワーストーン｜干支×石の相性","57","606","0","N"
"2026-05-10-eto-horse.md","eto-horse","午（うま）年生まれにおすすめのパワーストーン｜干支×石の相性","58","608","0","N"
"2026-05-10-eto-rooster.md","eto-rooster","酉（とり）年生まれにおすすめのパワーストーン｜干支×石の相性","58","613","0","N"
"2026-05-10-eto-boar.md","eto-boar","亥（いのしし）年生まれにおすすめのパワーストーン｜干支×石の相性","59","617","0","N"
"2026-05-10-eto-sheep.md","eto-sheep","未（ひつじ）年生まれにおすすめのパワーストーン｜干支×石の相性","60","617","0","N"
"2026-05-10-eto-rabbit.md","eto-rabbit","卯（うさぎ）年生まれにおすすめのパワーストーン｜干支×石の相性","60","618","0","N"
"2026-05-10-eto-dragon.md","eto-dragon","辰（たつ）年生まれにおすすめのパワーストーン｜干支×石の相性","58","627","0","N"
"2026-05-10-sugilite.md","sugilite","スギライトの意味・石言葉・効果｜日本人地質学者が発見した「紫の癒しの石」","111","1411","0","N"
"2026-05-10-rhodonite.md","rhodonite","ロードナイトの意味・石言葉・効果｜傷ついた愛を再生する「許しの石」","106","1426","0","N"
"2026-05-10-larimar.md","larimar","ラリマーの意味・石言葉・効果｜カリブの海を閉じ込めた「平和と癒しの石」","105","1434","0","N"
"2026-05-10-spinel.md","spinel","スピネルの意味・石言葉・効果｜ルビーと混同された「復活と生命力の石」","104","1434","0","N"
"2026-05-10-seraphinite.md","seraphinite","セラフィナイトの意味・石言葉・効果｜天使の羽を宿した「高次のヒーリング石」","114","1436","0","N"
"2026-05-10-charoite.md","charoite","チャロアイトの意味・石言葉・効果｜ロシアでしか採れない「世界三大ヒーリングストーン」","115","1441","0","N"
"2026-05-10-unakite.md","unakite","ユナカイトの意味・石言葉・効果｜癒しと再生の「妊娠の石」","107","1443","0","N"
"2026-05-10-sodalite.md","sodalite","ソーダライトの意味・石言葉・効果｜学者の机に置きたい「思考と信念の石」","106","1444","0","N"
"2026-05-10-apatite.md","apatite","アパタイトの意味・石言葉・効果｜目標達成を後押しする「青の指南石」","112","1447","0","N"
"2026-05-10-prehnite.md","prehnite","プレナイトの意味・石言葉・効果｜心の断捨離を促す「手放しの石」","110","1451","0","N"
"2026-05-10-azurite.md","azurite","アズライト（藍銅鉱）の意味・石言葉・効果｜深藍が誘う「霊性と洞察の石」","107","1456","0","N"
"2026-05-10-tanzanite.md","tanzanite","タンザナイトの意味・石言葉・効果｜20世紀発見の「ニュータイムストーン」","111","1463","0","N"
"2026-05-10-chrysoprase.md","chrysoprase","クリソプレーズの意味・石言葉・効果｜アップルグリーンが芽吹かせる「成長の石」","114","1463","0","N"
"2026-05-10-fluorite.md","fluorite","フローライト（蛍石）の意味・石言葉・効果｜「天才の石」と呼ばれる集中の助力者","112","1466","0","N"
"2026-05-10-labradorite.md","labradorite","ラブラドライトの意味・石言葉・効果｜オーロラを宿した「霊性と直感の石」","110","1472","0","N"
"2026-05-10-kunzite.md","kunzite","クンツァイトの意味・石言葉・効果｜「マザーオブラブ」の優しい母性","105","1475","0","N"
"2026-05-10-morganite.md","morganite","モルガナイトの意味・石言葉・効果｜アクアマリンと姉妹の「愛と結婚の石」","110","1475","0","N"
"2026-05-10-ametrine.md","ametrine","アメトリンの意味・石言葉・効果｜アメジストとシトリンが融合した「陰陽の石」","120","1484","0","N"
"2026-05-10-agate.md","agate","アゲート（瑪瑙）の意味・石言葉・効果｜家庭を守る「絆と安定の石」","102","1488","0","N"
"2026-05-10-pyrite.md","pyrite","パイライト（黄鉄鉱）の意味・石言葉・効果｜「フールズゴールド」と呼ばれる金運の象徴","113","1491","0","N"
"2026-05-10-morion.md","morion","モリオン（黒水晶）の意味・石言葉・効果｜「最強の魔除け石」と称される漆黒の水晶","116","1491","0","N"
"2026-05-10-chrysocolla.md","chrysocolla","クリソコラの意味・石言葉・効果｜「マザーアース」を象徴する女性性の石","119","1499","0","N"
"2026-05-10-hematite.md","hematite","ヘマタイト（赤鉄鉱）の意味・石言葉・効果｜古代戦士の盾「勝利と活力の石」","113","1502","0","N"
"2026-05-10-iolite.md","iolite","アイオライト（菫青石）の意味・石言葉・効果｜ヴァイキングの羅針盤「進路を示す石」","114","1502","0","N"
"2026-05-10-imperial-topaz.md","imperial-topaz","インペリアルトパーズの意味・石言葉・効果｜ロシア皇帝に愛された「成功と威厳の石」","120","1502","0","N"
"2026-05-10-sunstone.md","sunstone","サンストーンの意味・石言葉・効果｜太陽の輝きを宿す「活力とリーダーシップの石」","115","1526","0","N"
"2026-05-10-rutilated-quartz.md","rutilated-quartz","ルチルクォーツ（針水晶）の意味・石言葉・効果｜黄金の針を宿した「最強の金運石」","118","1535","0","N"
"2026-05-10-smoky-quartz.md","smoky-quartz","スモーキークォーツ（煙水晶）の意味・石言葉・効果｜現実を生きる力を支える「グラウンディングの石」","127","1573","0","N"
"2026-05-10-rhodochrosite.md","rhodochrosite","ロードクロサイト（インカローズ）の意味・石言葉・効果｜「薔薇色の人生」を呼ぶインカ帝国の伝説石","133","1622","0","N"
"2026-05-10-powerstone-combinations.md","powerstone-combinations","パワーストーンの組み合わせ完全ガイド｜相乗効果を生む2石・3石の組み方","67","1770","0","N"
"2026-05-10-how-to-wear-powerstones.md","how-to-wear-powerstones","パワーストーンの正しい身につけ方｜左右の使い分けと効果を最大化する場所","65","1971","0","N"
"2026-05-10-spot-fake-stones.md","spot-fake-stones","パワーストーンの偽物・人工石の見分け方｜素人でもできる8つのチェックポイント","66","1984","0","N"
